Name,Category,Price,Stock,Rating,SKU
Wireless Noise-Cancelling Headphones,Audio,189.99,124,4.7,AUD-001
Ergonomic Standing Desk,Furniture,549.00,38,4.5,FUR-001
Mechanical Keyboard (Cherry MX),Peripherals,129.99,256,4.8,PER-001
4K Webcam Pro,Peripherals,79.99,89,4.3,PER-002
Ultrawide 34" Monitor,Displays,699.00,22,4.6,DIS-001
USB-C Docking Station,Accessories,149.99,167,4.4,ACC-001
Mesh Wi-Fi Router System,Networking,249.99,45,4.2,NET-001
Portable SSD 2TB,Storage,119.99,312,4.9,STO-001
Smart LED Desk Lamp,Lighting,59.99,198,4.1,LIG-001
Laptop Stand Aluminum,Accessories,39.99,420,4.6,ACC-002
Noise-Cancelling Earbuds,Audio,149.99,175,4.5,AUD-002
Curved Gaming Monitor 27",Displays,449.00,31,4.7,DIS-002
Wireless Charging Pad,Accessories,29.99,580,4.0,ACC-003
Thunderbolt Cable 2m,Accessories,34.99,890,4.3,ACC-004
Smart Power Strip,Accessories,44.99,215,4.2,ACC-005
