Name,Plan,MRR,Signup Date,Status,Country,Seats
Acme Corp,Enterprise,4500,2024-08-15,Active,United States,45
TechFlow GmbH,Pro,299,2025-01-10,Active,Germany,12
Sakura Digital,Pro,299,2025-03-22,Active,Japan,8
NovaLabs,Enterprise,4500,2024-06-01,Active,United Kingdom,60
PeakMedia,Free,0,2025-11-05,Active,Canada,2
Orbital Systems,Pro,299,2025-05-18,Active,Australia,15
BrightPath Education,Enterprise,4500,2024-02-28,Active,United States,80
CloudNest,Pro,299,2025-07-14,Active,Netherlands,10
Zenith AI,Enterprise,4500,2024-11-20,Active,Singapore,35
DataPulse,Pro,299,2025-09-03,Churned,Brazil,6
FreshByte,Free,0,2026-01-15,Active,India,1
MegaDrive,Enterprise,4500,2024-04-10,Active,France,50
PixelForge,Pro,299,2025-06-30,Active,Sweden,9
Atlas Ventures,Enterprise,4500,2023-12-01,Churned,United States,25
RapidStack,Pro,299,2025-08-20,Active,Poland,11
GreenLeaf Bio,Free,0,2025-12-10,Active,Kenya,3
Horizon Fintech,Enterprise,4500,2024-09-05,Active,Switzerland,40
Nimbus SaaS,Pro,299,2025-04-12,Churned,Spain,7
ClearView Analytics,Enterprise,4500,2024-07-18,Active,United States,55
SkyBridge IO,Pro,299,2025-10-25,Active,South Korea,14
