Company,Deal Value,Stage,Owner,Close Date,Industry,Source
Meridian Health Systems,120000,Closed Won,Ana Petrovic,2026-02-15,Healthcare,Inbound
BlockForge Technologies,85000,Closed Won,Marko Nikolic,2026-02-28,Fintech,Referral
Vertex Manufacturing,250000,Proposal,Ana Petrovic,2026-04-01,Manufacturing,Outbound
ClearSky Airlines,180000,Qualified,Stefan Jovic,2026-04-15,Travel,Conference
NorthStar Logistics,95000,Proposal,Marko Nikolic,2026-03-30,Logistics,Inbound
EduSpark Academy,45000,Qualified,Jelena Savic,2026-05-01,Education,Webinar
GreenGrid Energy,310000,Lead,Stefan Jovic,2026-06-15,Energy,Outbound
Pacific Retail Group,67000,Proposal,Ana Petrovic,2026-04-10,Retail,Referral
Quantum Insurance,140000,Qualified,Marko Nikolic,2026-05-15,Insurance,Inbound
Atlas Media Group,78000,Lead,Jelena Savic,2026-06-01,Media,Conference
Pinnacle Construction,200000,Proposal,Stefan Jovic,2026-04-20,Construction,Outbound
FreshHarvest Foods,55000,Qualified,Jelena Savic,2026-05-10,Food & Beverage,Webinar
TitanCore Hosting,160000,Lead,Ana Petrovic,2026-07-01,Technology,Inbound
LuxeStay Hotels,110000,Closed Lost,Marko Nikolic,2026-03-01,Hospitality,Referral
SwiftPay Solutions,92000,Lead,Stefan Jovic,2026-06-30,Fintech,Outbound
